zona,PrecioActual,metros,habitaciones,ascensor,localizacion,planta,baños
ciudad-lineal,355000,69,2,S,EXTERIOR,5ª,1
carabanchel,149000,91,3,N,EXTERIOR,1ª,0
usera,195000,58,1,S,INTERIOR,BAJO,0
tetuan,715000,140,3,S,EXTERIOR,2ª,0
arganzuela,1257000,135,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,830000,81,1,S,INTERIOR,6ª,0
puente-de-vallecas,70000,43,1,N,EXTERIOR,1ª,0
chamberi,1847800,139,2,S,EXTERIOR,3ª,0
arganzuela,509000,90,3,S,EXTERIOR,1ª,2
usera,275000,80,2,S,EXTERIOR,2ª,0
barrio-de-salamanca,1789000,152,2,S,INTERIOR,2ª,0
barrio-de-salamanca,380000,67,1,S,EXTERIOR,1ª,0
puente-de-vallecas,220000,76,3,N,EXTERIOR,2ª,2
villaverde,145000,58,2,N,EXTERIOR,1ª,0
barrio-de-salamanca,3600000,379,5,S,EXTERIOR,3ª,0
fuencarral,330000,92,2,N,EXTERIOR,BAJO,0
retiro,1295000,124,3,S,EXTERIOR,3ª,0
chamberi,1200000,130,3,S,EXTERIOR,4ª,0
barrio-de-salamanca,1020000,110,2,S,EXTERIOR,3ª,1
chamartin,519000,99,3,S,EXTERIOR,1ª,0
moncloa,1300000,240,4,S,EXTERIOR,2ª,0
centro,800000,114,2,S,INTERIOR,2ª,0
carabanchel,159000,59,2,N,INTERIOR,1ª,0
ciudad-lineal,995000,158,4,S,EXTERIOR,16ª,0
chamartin,550000,80,1,S,EXTERIOR,13ª,1
tetuan,210000,41,1,S,EXTERIOR,BAJO,0
centro,1150000,196,4,S,EXTERIOR,2ª,0
centro,529000,87,3,N,EXTERIOR,2ª,1
barrio-de-salamanca,2990000,308,5,S,EXTERIOR,4ª,0
chamberi,1390000,110,2,S,EXTERIOR,9ª,0
hortaleza,136000,68,1,N,EXTERIOR,3ª,0
hortaleza,600000,105,3,S,EXTERIOR,3ª,0
barrio-de-salamanca,6000000,380,5,S,EXTERIOR,4ª,0
barrio-de-salamanca,2619000,219,4,S,EXTERIOR,4ª,0
arganzuela,375000,63,1,S,INTERIOR,7ª,0
latina,180000,47,2,N,EXTERIOR,1ª,0
moncloa,571850,93,1,S,EXTERIOR,BAJO,0
carabanchel,146990,72,2,S,EXTERIOR,2ª,0
tetuan,545000,90,3,S,EXTERIOR,2ª,2
centro,440000,82,1,S,EXTERIOR,4ª,0
centro,595000,132,3,S,EXTERIOR,5ª,0
tetuan,228000,36,2,N,INTERIOR,4ª,0
carabanchel,360000,78,2,S,EXTERIOR,10ª,1
chamberi,1565970,162,3,S,EXTERIOR,5ª,0
barrio-de-salamanca,1789000,152,2,S,INTERIOR,2ª,2
hortaleza,923100,182,4,S,EXTERIOR,2ª,0
barrio-de-salamanca,9250000,550,4,S,EXTERIOR,5ª,0
chamartin,2300000,265,5,S,EXTERIOR,6ª,0
ciudad-lineal,230000,68,3,N,EXTERIOR,BAJO,0
retiro,1100000,136,3,S,EXTERIOR,BAJO,0
barrio-de-salamanca,3000000,200,3,S,EXTERIOR,4ª,0
chamartin,2650000,368,4,S,EXTERIOR,6ª,0
centro,360000,45,1,S,INTERIOR,1ª,0
fuencarral,550000,138,3,S,EXTERIOR,BAJO,2
chamberi,420000,56,1,S,EXTERIOR,6ª,0
chamberi,730000,80,2,S,EXTERIOR,4ª,0
tetuan,270000,83,3,N,EXTERIOR,4ª,0
chamartin,3800000,420,3,S,EXTERIOR,3ª,0
carabanchel,291400,100,4,S,EXTERIOR,BAJO,3
centro,1079000,128,3,S,EXTERIOR,2ª,0
barrio-de-salamanca,1849000,157,3,S,EXTERIOR,2ª,0
barajas,315000,70,1,S,EXTERIOR,BAJO,0
barrio-de-salamanca,1695000,113,3,S,EXTERIOR,5ª,0
centro,830000,108,2,S,EXTERIOR,3ª,0
hortaleza,574000,88,2,S,EXTERIOR,1ª,0
puente-de-vallecas,270000,115,3,N,EXTERIOR,2ª,0
villa-de-vallecas,546000,137,3,S,EXTERIOR,8ª,0
carabanchel,350000,92,2,S,EXTERIOR,BAJO,0
tetuan,2875000,434,6,S,EXTERIOR,10ª,0
tetuan,119500,63,3,N,EXTERIOR,3ª,0
usera,418000,74,2,S,EXTERIOR,1ª,0
chamberi,950000,78,2,S,EXTERIOR,6ª,0
barrio-de-salamanca,599900,97,2,S,EXTERIOR,BAJO,2
centro,520000,84,1,S,EXTERIOR,5ª,0
arganzuela,256400,66,1,S,EXTERIOR,1ª,0
barrio-de-salamanca,1395000,100,3,S,EXTERIOR,4ª,0
barrio-de-salamanca,639000,80,1,S,EXTERIOR,3ª,0
hortaleza,550000,131,2,S,EXTERIOR,1ª,2
barrio-de-salamanca,2200000,170,3,S,EXTERIOR,8ª,0
carabanchel,218000,72,3,N,EXTERIOR,1ª,0
centro,395000,41,1,S,INTERIOR,2ª,0
barajas,540000,121,3,S,EXTERIOR,3ª,0
