zona,PrecioActual,metros,habitaciones,tiene_ascensor,localizacion,planta_num,baños,PrecioActual_log,Latitud,Longitud
ciudad-lineal,355000,69,2.0,1,EXTERIOR,5.0,1,12.779875885354993,40.4484305,-3.650495
carabanchel,149000,91,3.0,0,EXTERIOR,1.0,0,11.91170829631447,40.3742112,-3.744676
usera,195000,58,1.0,1,INTERIOR,0.0,0,12.180759965737863,40.383894,-3.7064459
tetuan,715000,140,3.0,1,EXTERIOR,2.0,0,13.480039220276565,40.4605781,-3.6982806
arganzuela,1257000,135,3.0,1,EXTERIOR,3.0,0,14.044239283117017,40.3969535,-3.6972891
barrio-de-salamanca,830000,81,1.0,1,INTERIOR,6.0,0,13.629182184591333,40.4364379,-3.6857028
puente-de-vallecas,70000,43,1.0,0,EXTERIOR,1.0,0,11.156264806643742,40.3868601,-3.6591803
chamberi,1847800,139,2.0,1,EXTERIOR,3.0,0,14.429506841402747,40.4389621,-3.705302
arganzuela,509000,90,3.0,1,EXTERIOR,1.0,2,13.140205260167273,40.3969535,-3.6972891
usera,275000,80,2.0,1,EXTERIOR,2.0,0,12.524530013005734,40.383894,-3.7064459
barrio-de-salamanca,1789000,152,2.0,1,INTERIOR,2.0,0,14.397167921462193,40.4364379,-3.6857028
barrio-de-salamanca,380000,67,1.0,1,EXTERIOR,1.0,0,12.847929163278053,40.4364379,-3.6857028
puente-de-vallecas,220000,76,3.0,0,EXTERIOR,2.0,2,12.301387370778713,40.3868601,-3.6591803
villaverde,145000,58,2.0,0,EXTERIOR,1.0,0,11.884495917930655,40.3456104,-3.6959556
barrio-de-salamanca,3600000,379,5.0,1,EXTERIOR,3.0,0,15.096444681204078,40.4364379,-3.6857028
fuencarral,330000,92,2.0,0,EXTERIOR,0.0,0,12.706850963741102,40.426213,-3.7009931
retiro,1295000,124,3.0,1,EXTERIOR,3.0,0,14.07402202531625,40.4111495,-3.6760566
chamberi,1200000,130,3.0,1,EXTERIOR,4.0,0,13.997832948091215,40.4389621,-3.705302
barrio-de-salamanca,1020000,110,2.0,1,EXTERIOR,3.0,1,13.83531416565213,40.4364379,-3.6857028
chamartin,519000,99,3.0,1,EXTERIOR,1.0,0,13.159661088928443,40.4739539,-3.6827087
moncloa,1300000,240,4.0,1,EXTERIOR,2.0,0,14.077875591662238,40.4350196,-3.719236
centro,800000,114,2.0,1,INTERIOR,2.0,0,13.592368256649284,40.4176527,-3.7079547
carabanchel,159000,59,2.0,0,INTERIOR,1.0,0,11.976665770490767,40.3742112,-3.744676
ciudad-lineal,995000,158,4.0,1,EXTERIOR,16.0,0,13.81049902116535,40.4484305,-3.650495
chamartin,550000,80,1.0,1,EXTERIOR,13.0,1,13.217675375388819,40.4739539,-3.6827087
tetuan,210000,41,1.0,1,EXTERIOR,0.0,0,12.25486757159303,40.4605781,-3.6982806
